OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
234885,239044,W-25068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3614,-112.9116,-6,America/Denver
234901,239060,W-25090,101.53,807138300,71.63,807199200,101.53,807138300,74.41,807115920,36.28,0.17,,0.11,,,,,,807108000,807158760,102.03,807138300,71.14,807199200,102.03,807138300,73.92,807115920,807084000,0,807084000,256,,,9.36,37.0478,-113.7627,-6,America/Denver
235023,239185,W-19766,95.05,839016000,69.13,839077200,95.05,839016000,66.06,838990860,49.83,0.35,,0.64,,,,,,838989420,839040120,95.55,839016000,68.64,839077200,95.55,839016000,65.57,838990860,838965600,11,839014740,199,,,18.11,38.3319,-112.9861,-6,America/Denver
235039,239201,W-19788,84.54,840408840,38.51,840459600,84.54,840408840,57.57,840348000,45.85,0.49,,0.15,,,,,,840372600,840421320,85.04,840408840,40.99,840459600,85.04,840408840,57.01,840348000,840348000,10,840394560,205,,,15.72,38.4344,-112.7255,-6,America/Denver
235153,239318,W-8499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2011,-113.8516,-6,America/Denver
235157,239322,W-8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0066,-113.8441,-7,America/Phoenix
235648,239830,W-25234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,-109.0507,-6,America/Denver
236241,240440,W-31700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6166,-112.8508,-6,America/Denver
236325,240524,W-25391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7166,-111.9174,-6,America/Denver
236366,240566,W-25321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7833,-112.6508,-6,America/Denver
236391,240591,W-20241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7058,-112.2808,-6,America/Denver
236414,240615,W-20277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6241,-112.6269,-6,America/Denver
236432,240633,W-20297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7333,-112.4008,-6,America/Denver
236455,240657,W-20150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5011,-112.2244,-6,America/Denver
236458,240660,W-20152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.628,-112.1191,-6,America/Denver
236459,240661,W-20145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7936,-112.3183,-6,America/Denver
236460,240662,W-20151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5211,-111.9927,-6,America/Denver
236509,240711,W-13041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5664,-112.148,-6,America/Denver
236573,240776,W-8765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7839,-112.6136,-6,America/Denver
236648,240851,W-1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.66675,-112.28472,-6,America/Denver
236783,240989,W-31820,81.46,769980300,,,81.46,769980300,63.05,769957200,27.09,0.18,,0.58,,,,,,769954080,770007120,81.96,769980300,,,81.96,769980300,62.56,769957200,769932000,6,769980960,276,,,6.17,40.3249,-112.8491,-6,America/Denver
236793,240999,W-31833,75.42,771712200,,,75.42,771712200,56.35,771685200,18.05,0.15,,0.22,,,,,,771681780,771735780,75.92,771712200,,,75.92,771712200,55.86,771685200,771660000,10,771708720,314,,,7.92,40.0499,-112.8508,-6,America/Denver
236796,241002,W-31836,74.9,771804000,,,74.9,771804000,48.81,771771600,21.97,0.2,,0.26,,,,,,771768120,771822180,75.4,771804000,,,75.4,771804000,48.32,771771600,771746400,11,771795120,288,,,5.04,40.1499,-112.7008,-6,America/Denver
236797,241003,W-31837,94.49,772144500,,,94.49,772144500,64.27,772117200,25.44,0.11,,0.41,,,,,,772113780,772167900,94.99,772144500,,,94.99,772144500,63.78,772117200,772092000,10,772140780,165,,,5.75,40.1999,-112.7175,-6,America/Denver
236801,241007,W-31851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2999,-112.7841,-6,America/Denver
